0,0,175,160
176,0,175,160
352,0,175,160
528,0,175,160
704,0,175,160
880,0,175,160
1056,0,175,160
1232,0,175,160
0,160,175,160
176,160,175,160
352,160,175,160
528,160,175,160
704,160,175,160
880,160,175,160
1056,160,175,160
1232,160,175,160
0,320,175,160
176,320,175,160
352,320,175,160
528,320,175,160
704,320,175,160
880,320,175,160
1056,320,175,160
1232,320,175,160
0,480,175,160
176,480,175,160
352,480,175,160
528,480,175,160
704,480,175,160
880,480,175,160
1056,480,175,160
1232,480,175,160
0,640,175,160
176,640,175,160
352,640,175,160
528,640,175,160
704,640,175,160
880,640,175,160
1056,640,175,160
1232,640,175,160
0,800,175,160
176,800,175,160
352,800,175,160
528,800,175,160
704,800,175,160
880,800,175,160
1056,800,175,160
1232,800,175,160
0,960,175,160
176,960,175,160
352,960,175,160
528,960,175,160
704,960,175,160
880,960,175,160
1056,960,175,160
1232,960,175,160
0,1120,175,160
176,1120,175,160
352,1120,175,160
528,1120,175,160
704,1120,175,160
880,1120,175,160
1056,1120,175,160
1232,1120,175,160
0,1280,175,160
176,1280,175,160
352,1280,175,160
528,1280,175,160
704,1280,175,160
880,1280,175,160
1056,1280,175,160
1232,1280,175,160
0,1440,175,160
176,1440,175,160
352,1440,175,160
528,1440,175,160
704,1440,175,160
880,1440,175,160
1056,1440,175,160
1232,1440,175,160
0,1600,175,160
176,1600,175,160
352,1600,175,160
528,1600,175,160
704,1600,175,160
880,1600,175,160
1056,1600,175,160
1232,1600,175,160
