60,12,16,27
84,11,29,27
129,10,18,33
167,11,25,30
210,12,31,27
258,7,27,35
305,4,16,40
337,7,22,38
2,49,30,29
54,51,19,33
95,55,29,27
132,55,31,27
184,50,27,35
234,46,21,39
272,58,30,29
313,60,28,27
12,91,18,33
56,94,29,27
98,102,31,27
139,96,27,34
181,93,21,39
219,97,27,35
259,106,30,27
303,105,29,27
11,136,27,34
56,131,22,38
99,134,16,40
139,137,21,39
177,144,30,30
224,146,36,27
282,146,36,32
10,192,16,53
57,195,24,54
102,197,32,53
151,197,47,46
220,200,60,33
295,200,56,34
8,264,45,47
69,259,39,51
133,260,26,54
189,261,16,52
219,276,30,33
295,284,16,27
