0,0
176,0
352,0
528,0
704,0
880,0
1056,0
1232,0
0,160
176,160
352,160
528,160
704,160
880,160
1056,160
1232,160
0,320
176,320
352,320
528,320
704,320
880,320
1056,320
1232,320
0,480
176,480
352,480
528,480
704,480
880,480
1056,480
1232,480
0,640
176,640
352,640
528,640
704,640
880,640
1056,640
1232,640
0,800
176,800
352,800
528,800
704,800
880,800
1056,800
1232,800
0,960
176,960
352,960
528,960
704,960
880,960
1056,960
1232,960
0,1120
176,1120
352,1120
528,1120
704,1120
880,1120
1056,1120
1232,1120
0,1280
176,1280
352,1280
528,1280
704,1280
880,1280
1056,1280
1232,1280
0,1440
176,1440
352,1440
528,1440
704,1440
880,1440
1056,1440
1232,1440
0,1600
176,1600
352,1600
528,1600
704,1600
880,1600
1056,1600
1232,1600
