Link down idle :
90,13,16,22

Link up idle :
3,97,16,22

Link right idle :
4,56,16,23

Link left idle :
4,56,16,23

Link down walk :
122,13,16,22
149,12,16,23
174,11,16,24
197,13,16,22
223,12,16,23
249,11,16,24
272,13,16,22
298,13,16,22

Link right walk :
31,55,16,24
57,55,16,24
84,56,17,23
107,56,16,23
132,55,16,24
158,55,16,24
179,56,16,23
200,56,16,23

Link up walk :
30,97,16,22
57,96,16,23
81,95,16,24
108,97,16,22
131,96,16,23
156,95,16,24
180,97,16,22
204,96,16,23

Link left walk :
31,55,16,24
57,55,16,24
84,56,17,23
107,56,16,23
132,55,16,24
158,55,16,24
179,56,16,23
200,56,16,23

Link down idle SHIELD :
7,209,16,22

Link right idle SHIELD :
225,209,19,23

Link up idle SHIELD :
7,239,17,22

Link left idle SHIELD :
225,209,19,23

Link down walk SHIELD :
33,209,16,22
59,208,16,23
82,207,16,24
106,209,16,22
131,209,16,22
154,208,16,23
175,207,16,24
198,209,16,22

Link right walk SHIELD :
249,208,19,24
277,208,18,24
301,209,19,23
326,209,19,23
351,208,19,24
402,208,18,24
425,209,19,23

Link up walk SHIELD :
32,237,17,24
55,239,17,22
78,239,17,22
101,238,17,23
126,239,17,22
148,237,17,24
172,240,17,22

Link left walk SHIELD :
249,208,19,24
277,208,18,24
301,209,19,23
326,209,19,23
351,208,19,24
402,208,18,24
425,209,19,23

Link falling :
283,170,22,21
317,175,16,16
341,178,13,13
363,183,8,8
378,184,7,7
389,188,3,3

Link throw boomerang right :
284,244,20,23
309,245,16,22

Link throw boomerang left :
284,244,20,23
309,245,16,22

Link throw boomerang up :
387,243,23,23
415,244,19,22

Link throw boomerang down :
442,245,23,22
468,246,20,21

Boomerang loop :
328,253,10,10
343,253,10,10
356,253,10,10
370,253,10,10

Link pull up :
232,98,16,21
253,99,16,20

Link sword rise :
284,124,17,35

Link attack up :
517,243,22,22
546,235,22,30
582,230,20,35
611,235,24,30
643,242,32,23

Link attack down :
510,282,20,23
542,286,22,24
571,282,20,31
598,283,20,31
624,284,28,29
661,284,32,27

Link attack left :
519,192,16,23
546,191,23,24
574,194,29,21
611,194,31,21
652,193,28,29
681,193,23,31

Link attack right :
519,192,16,23
546,191,23,24
574,194,29,21
611,194,31,21
652,193,28,29
681,193,23,31

Link charge super attack up :
686,239,19,26

Link charge super attack down :
701,284,19,29

Link charge super attack left :
708,192,24,23

Link charge super attack right :
708,192,24,23

Link super attack up :
487,60,20,27
516,61,15,35
541,60,17,38
568,60,17,38
595,60,20,27
620,60,28,22
657,54,16,28
681,60,28,22
720,60,16,31
746,61,17,31
767,61,20,27
797,61,17,22

Link super attack down :
504,139,20,26
532,126,15,36
554,126,16,39
576,138,20,26
604,142,28,22
638,142,28,22
673,141,17,31
695,142,28,22
729,142,28,22
764,136,16,28
791,138,20,26
818,142,16,22

Link super attack left :
500,19,23,23
536,19,31,23
577,20,34,23
621,19,34,23
664,19,23,23
697,19,16,31
718,19,28,23
750,19,28,23
789,13,17,29
815,19,28,23
845,19,28,23
879,19,23,23

Link super attack right :
500,19,23,23
536,19,31,23
577,20,34,23
621,19,34,23
664,19,23,23
697,19,16,31
718,19,28,23
750,19,28,23
789,13,17,29
815,19,28,23
845,19,28,23
879,19,23,23
